Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",12.500000,-92.500000,180.000000,bottom
"C2","100nF","C_0402_1005Metric",20.500000,-83.200000,0.000000,bottom
"C3","1uF","C_0402_1005Metric",33.655200,-91.309200,180.000000,bottom
"C4","1F/5.5V","C_1210_3225Metric",38.845600,-93.000000,-90.000000,bottom
"C5","1uF","C_0402_1005Metric",33.654400,-97.000000,180.000000,bottom
"C6","1uF","C_0402_1005Metric",16.000000,-76.200000,90.000000,bottom
"C7","100nF","C_0402_1005Metric",16.000000,-78.200000,-90.000000,bottom
"C8","100nF","C_0402_1005Metric",21.020000,-68.200000,180.000000,bottom
"C9","100nF","C_0402_1005Metric",31.000000,-71.700000,-90.000000,bottom
"C10","22pF","C_0402_1005Metric",24.975700,-68.203400,180.000000,bottom
"C11","22pF","C_0402_1005Metric",23.000000,-68.200000,0.000000,bottom
"D3","BAT54","D_SOD-323",7.517100,-5.787000,90.000000,bottom
"D4","BAT54","D_SOD-323",25.654400,-88.500000,-90.000000,bottom
"D5","BAT54","D_SOD-323",37.317400,-5.706900,90.000000,bottom
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",22.500000,-95.500000,180.000000,bottom
"Q1","Q_NPN","SOT-23",16.455000,-6.225000,-90.000000,bottom
"R1","100","R_0402_1005Metric",12.500000,-95.000000,180.000000,bottom
"R2","10k","R_0402_1005Metric",19.500000,-67.710000,-90.000000,bottom
"R4","1k","R_0402_1005Metric",15.000000,-3.500000,0.000000,bottom
"R5","10","R_0805_2012Metric",17.000000,-2.500000,90.000000,bottom
"R6","22","R_0402_1005Metric",15.500000,-74.200000,0.000000,bottom
"R7","5.1k","R_0402_1005Metric",23.808700,-89.010000,-90.000000,bottom
"R8","5.1k","R_0402_1005Metric",20.654400,-89.010000,-90.000000,bottom
"R9","10k","R_0402_1005Metric",31.000000,-79.200000,-90.000000,bottom
"U1","IRM-H638T","Everlight_IRM-H6xxT",6.675000,-93.775000,180.000000,bottom
"U2","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",23.500000,-75.700000,0.000000,bottom
"U3","MCP1700-3.3V","SOT-23",33.654400,-94.000000,90.000000,bottom
"Y1","16MHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",23.000000,-66.200000,180.000000,bottom
"D1","Green","LED_0603_1608Metric",33.000000,-96.000000,180.000000,top
"D2","IR_940nm","LED_D5.0mm",22.500000,-3.500000,180.000000,top
"J1","Solar_Panel","SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",10.000000,-2.000000,180.000000,top
"J3","Solar_Panel_Back","SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",35.000000,-2.000000,0.000000,top
"R3","330","R_0402_1005Metric",30.500000,-96.000000,0.000000,top
"SW1","Power","SW_SPST_CK_RS282G05A3",10.500000,-38.000000,0.000000,top
"SW2","Up","SW_SPST_CK_RS282G05A3",22.500000,-38.000000,0.000000,top
"SW3","Mute","SW_SPST_CK_RS282G05A3",34.500000,-38.000000,0.000000,top
"SW4","Left","SW_SPST_CK_RS282G05A3",10.500000,-50.000000,0.000000,top
"SW5","Select","SW_SPST_CK_RS282G05A3",22.500000,-50.000000,0.000000,top
"SW6","Right","SW_SPST_CK_RS282G05A3",34.500000,-50.000000,0.000000,top
"SW7","Vol-","SW_SPST_CK_RS282G05A3",10.500000,-62.000000,0.000000,top
"SW8","Down","SW_SPST_CK_RS282G05A3",22.500000,-62.000000,0.000000,top
"SW9","Vol+","SW_SPST_CK_RS282G05A3",34.500000,-62.000000,0.000000,top
"SW10","Back","SW_SPST_CK_RS282G05A3",10.500000,-74.000000,0.000000,top
"SW11","Home","SW_SPST_CK_RS282G05A3",22.500000,-74.000000,0.000000,top
"SW12","Source","SW_SPST_CK_RS282G05A3",34.500000,-74.000000,0.000000,top
"SW13","C1","SW_SPST_CK_RS282G05A3",10.500000,-86.000000,0.000000,top
"SW14","C2","SW_SPST_CK_RS282G05A3",22.500000,-86.000000,0.000000,top
"SW15","Learn","SW_SPST_CK_RS282G05A3",34.500000,-86.000000,0.000000,top
