Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,138.51,-140.73,180,Bottom
C2,100nF,C_0402_1005Metric,146.51,-131.43,0,Bottom
C3,1uF,C_0402_1005Metric,159.6652,-139.5392,180,Bottom
C4,1F/5.5V,C_1210_3225Metric,164.8556,-141.23,-90,Bottom
C5,1uF,C_0402_1005Metric,159.6644,-145.23,180,Bottom
C6,1uF,C_0402_1005Metric,142.01,-124.43,90,Bottom
C7,100nF,C_0402_1005Metric,142.01,-126.43,-90,Bottom
C8,100nF,C_0402_1005Metric,147.03,-116.43,180,Bottom
C9,100nF,C_0402_1005Metric,157.01,-119.93,-90,Bottom
C10,22pF,C_0402_1005Metric,150.9857,-116.4334,180,Bottom
C11,22pF,C_0402_1005Metric,149.01,-116.43,0,Bottom
D3,BAT54,D_SOD-323,133.5271,-54.017,90,Bottom
D4,BAT54,D_SOD-323,151.6644,-136.73,-90,Bottom
D5,BAT54,D_SOD-323,163.3274,-53.9369,90,Bottom
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,148.51,-143.73,180,Bottom
Q1,Q_NPN,SOT-23,142.465,-54.455,-90,Bottom
R1,100,R_0402_1005Metric,138.51,-143.23,180,Bottom
R2,10k,R_0402_1005Metric,145.51,-115.94,-90,Bottom
R4,1k,R_0402_1005Metric,141.01,-51.73,0,Bottom
R5,10,R_0805_2012Metric,143.01,-50.73,90,Bottom
R6,22,R_0402_1005Metric,141.51,-122.43,0,Bottom
R7,5.1k,R_0402_1005Metric,149.8187,-137.24,-90,Bottom
R8,5.1k,R_0402_1005Metric,146.6644,-137.24,-90,Bottom
R9,10k,R_0402_1005Metric,157.01,-127.43,-90,Bottom
U1,IRM-H638T,Everlight_IRM-H6xxT,132.685,-142.005,180,Bottom
U2,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,149.51,-123.93,0,Bottom
U3,MCP1700-3.3V,SOT-23,159.6644,-142.23,90,Bottom
Y1,16MHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,149.01,-114.43,180,Bottom
D1,Green,LED_0603_1608Metric,159.01,-144.23,180,Top
D2,IR_940nm,LED_D5.0mm,148.51,-51.73,180,Top
J1,Solar_Panel,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,136.01,-50.23,180,Top
J3,Solar_Panel_Back,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,161.01,-50.23,0,Top
R3,330,R_0402_1005Metric,156.51,-144.23,0,Top
SW1,Power,SW_SPST_B3U-1000P,136.51,-86.23,0,Top
SW2,Up,SW_SPST_B3U-1000P,148.51,-86.23,0,Top
SW3,Mute,SW_SPST_B3U-1000P,160.51,-86.23,0,Top
SW4,Left,SW_SPST_B3U-1000P,136.51,-98.23,0,Top
SW5,Select,SW_SPST_B3U-1000P,148.51,-98.23,0,Top
SW6,Right,SW_SPST_B3U-1000P,160.51,-98.23,0,Top
SW7,Vol-,SW_SPST_B3U-1000P,136.51,-110.23,0,Top
SW8,Down,SW_SPST_B3U-1000P,148.51,-110.23,0,Top
SW9,Vol+,SW_SPST_B3U-1000P,160.51,-110.23,0,Top
SW10,Back,SW_SPST_B3U-1000P,136.51,-122.23,0,Top
SW11,Home,SW_SPST_B3U-1000P,148.51,-122.23,0,Top
SW12,Source,SW_SPST_B3U-1000P,160.51,-122.23,0,Top
SW13,C1,SW_SPST_B3U-1000P,136.51,-134.23,0,Top
SW14,C2,SW_SPST_B3U-1000P,148.51,-134.23,0,Top
SW15,Learn,SW_SPST_B3U-1000P,160.51,-134.23,0,Top
