Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,0.1uF,C_0402_1005Metric,161.58,-96.845,180,Bottom
C38,10pF,C_0402_1005Metric,156.42,-91.985,90,Bottom
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4085,145.515,-107.025,180,Bottom
J2,JST-PH Battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,139.485,-101.875,-90,Bottom
J4,Micro_SD,microSD_HC_Hirose_DM3D-SF,155.615,-106.105,180,Bottom
MK2,ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,160.645,-98.8775,-90,Bottom
Q2,BC817,SOT-23,146.806359,-100.288641,180,Bottom
Q3,BC817,SOT-23,145.856359,-104.263641,180,Bottom
R16,100k,R_0402_1005Metric,159.565,-96.885,180,Bottom
R20,330R,R_0402_1005Metric,162.02,-95.445,90,Bottom
R21,330R,R_0402_1005Metric,161.085,-95.445,90,Bottom
R22,10k,R_0402_1005Metric,148.272718,-104.668641,90,Bottom
R23,10k,R_0402_1005Metric,144.971359,-99.191359,180,Bottom
R24,10k,R_0402_1005Metric,148.266359,-102.736359,-90,Bottom
R25,10k,R_0402_1005Metric,144.476359,-102.758641,-90,Bottom
R26,330R,R_0402_1005Metric,160.15,-95.445,90,Bottom
U9,MAX-M10S-00B,SMD-18_L10.1-W9.7-P1.10-TL_SKG09F,150,-92.465,0,Bottom
U13,W3011,ANT-SMD_L3.2-W1.6-2,161.525,-90,-90,Bottom
C1,10uF,C_0805_2012Metric,145.695,-104.77,0,Top
C2,0.1uF,C_0402_1005Metric,146.52,-106.24,0,Top
C3,0.1uF,C_0402_1005Metric,149.945,-100.535,-90,Top
C4,10uF,C_0805_2012Metric,148.51,-99.965,-90,Top
C5,0.1uF,C_0402_1005Metric,142.375,-106.245,0,Top
C6,4.7uF,C_0402_1005Metric,144.765,-102.28,180,Top
C7,0.1uF,C_0402_1005Metric,144.75,-103.21,180,Top
C8,0.1uF,C_0402_1005Metric,151.25,-90.35,-90,Top
C9,0.1uF,C_0402_1005Metric,144.66,-89.395,90,Top
C11,4.7uF,C_0805_2012Metric,138.34,-99.31,90,Top
C12,4.7uF,C_0805_2012Metric,150.62,-107.46,-90,Top
C13,0.1uF,C_0402_1005Metric,140.6,-109.675,0,Top
C14,1uF,C_0402_1005Metric,144.54,-109.76,0,Top
C16,10uF,C_0805_2012Metric,154.735,-111.525,0,Top
C17,0.1uF,C_0402_1005Metric,152.475,-111.475,90,Top
C18,0.1uF,C_0402_1005Metric,146.495,-109.87,0,Top
C19,4.7uF,C_0805_2012Metric,148.405,-107.605,-90,Top
C20,0.1uF,C_0402_1005Metric,151.325,-94.285,-125,Top
C21,10uF,C_0805_2012Metric,149.55,-93.02,-35,Top
C22,0.1uF,C_0402_1005Metric,147.53,-97.015,-35,Top
C23,0.1uF,C_0402_1005Metric,154.62,-103.575,180,Top
C24,0.1uF,C_0402_1005Metric,156.87,-93.94,-90,Top
C25,1uF,C_0402_1005Metric,155.94,-93.93,-90,Top
C26,0.1uF,C_0402_1005Metric,159.655,-102.61,180,Top
C27,10pF,C_0402_1005Metric,153.91,-92.18,135,Top
C28,10pF,C_0402_1005Metric,151.355,-92.38,-45,Top
C29,0.5pF,C_0402_1005Metric,145.145,-92.41,-125,Top
C30,1.2pF,C_0402_1005Metric,142.475,-90.655,-120,Top
C31,0.1uF,C_0402_1005Metric,156.44,-103.605,0,Top
C32,0.1uF,C_0402_1005Metric,149.825,-90.92,180,Top
C33,0.1uF,C_0402_1005Metric,151.23,-88.45,90,Top
C34,0.1uF,C_0402_1005Metric,149.825,-90,180,Top
C36,0.1uF,C_0402_1005Metric,155.025,-93.925,90,Top
C37,10uF,C_0805_2012Metric,148.695,-96.075,145,Top
D1,Red,LED_0402_1005Metric,146.14,-102.735,90,Top
D2,Red,LED_0402_1005Metric,144.49,-95.585,90,Top
D3,Green,LED_0402_1005Metric,142.62,-95.59,90,Top
D4,Blue,LED_0402_1005Metric,143.56,-95.585,90,Top
D5,Red,LED_0402_1005Metric,162.02,-94.465,-90,Top
D6,Green,LED_0402_1005Metric,161.085,-94.475,-90,Top
D7,Blue,LED_0402_1005Metric,160.14,-94.475,-90,Top
F1,1.1A PTC,Fuse_0402_1005Metric,140.405,-105.815,90,Top
FB1,33R@100MHz,L_0402_1005Metric,143.28,-103.725,-90,Top
L1,2.7nH,L_0402_1005Metric,149.205,-94.67,145,Top
R1,5.1k,R_0402_1005Metric,144.685,-106.265,0,Top
R2,5.1k,R_0402_1005Metric,138.75,-109.63,180,Top
R3,2k,R_0402_1005Metric,139.785,-100.04,90,Top
R4,100k,R_0402_1005Metric,146.965,-98.785,-100,Top
R5,20k,R_0402_1005Metric,139.785,-98,-90,Top
R6,10k,R_0402_1005Metric,146.005,-97.72,-90,Top
R7,10k,R_0402_1005Metric,141.225,-96.06,0,Top
R8,10k,R_0402_1005Metric,142.155,-102.29,180,Top
R9,100k,R_0402_1005Metric,146.08,-100.715,55,Top
R10,330R,R_0402_1005Metric,147.09,-101.68,-90,Top
R11,470R,R_0402_1005Metric,146.125,-95.1,180,Top
R12,470R,R_0402_1005Metric,141.205,-95.1,0,Top
R13,470R,R_0402_1005Metric,143.06,-94.185,0,Top
R14,10k,R_0402_1005Metric,152.615,-88.01,0,Top
R15,0R,R_0402_1005Metric,147.37,-91.37,180,Top
R19,10k,R_0402_1005Metric,142.61,-109.665,15,Top
SW1,Boot,KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0,140.65,-111.28,180,Top
SW2,RESET,KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0,144.38,-111.28,0,Top
U1,AP2112K-3.3,SOT-23-5,149.1,-103.715,90,Top
U2,MCP73871,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,142.92,-99.22,180,Top
