Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C9,0.1uF,C_0402_1005Metric,160.205000,-97.280000,-90.000000,Bottom
C19,4.7uF,C_0805_2012Metric,143.405000,-94.790000,-90.000000,Bottom
C21,10uF,C_0805_2012Metric,153.192496,-99.250000,180.000000,Bottom
C26,0.1uF,C_0402_1005Metric,158.420000,-98.525000,0.000000,Bottom
C32,0.1uF,C_0402_1005Metric,159.235000,-96.315000,90.000000,Bottom
C33,0.1uF,C_0402_1005Metric,161.635000,-96.770000,0.000000,Bottom
C34,0.1uF,C_0402_1005Metric,161.590000,-99.820000,180.000000,Bottom
F1,1.1A PTC,Fuse_0402_1005Metric,144.540000,-102.040000,90.000000,Bottom
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles,142.800000,-108.855000,180.000000,Bottom
J2,JST-PH Battery,JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,138.980000,-100.140000,-90.000000,Bottom
J4,Micro_SD,microSD_HC_Hirose_DM3D-SF,156.000000,-106.175000,180.000000,Bottom
MK2,ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,147.180000,-100.955000,0.000000,Bottom
R1,5.1k,R_0402_1005Metric,143.585000,-102.040000,90.000000,Bottom
R2,5.1k,R_0402_1005Metric,148.270000,-107.270000,90.000000,Bottom
U1,AP2112K-3.3,SOT-23-5,143.167500,-98.537500,90.000000,Bottom
U9,MAX-M10S-00B,SMD-18_L10.1-W9.7-P1.10-TL_SKG09F,150.345000,-92.450000,0.000000,Bottom
U11,LSM6DS3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,161.240000,-94.545000,-90.000000,Bottom
U12,BMM150,WLCSP-12_1.56x1.56mm_P0.4mm,161.705000,-98.255000,0.000000,Bottom
U13,W3011,ANT-SMD_L3.2-W1.6-2,161.520000,-89.990000,-90.000000,Bottom
B,Boot,KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0,153.960000,-104.665000,0.000000,Top
C1,10uF,C_0805_2012Metric,142.622500,-101.372500,180.000000,Top
C2,0.1uF,C_0402_1005Metric,143.647500,-99.707500,0.000000,Top
C3,0.1uF,C_0402_1005Metric,143.630000,-97.897500,0.000000,Top
C4,10uF,C_0805_2012Metric,145.857500,-98.787500,90.000000,Top
C5,0.1uF,C_0402_1005Metric,142.495000,-104.755000,90.000000,Top
C6,1uF,C_0402_1005Metric,139.295000,-107.395000,0.000000,Top
C7,0.1uF,C_0402_1005Metric,141.215000,-105.730000,90.000000,Top
C8,0.1uF,C_0402_1005Metric,153.665000,-90.065000,-90.000000,Top
